Path,Average
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_530_1061-RWH South, Pre-PAA|ECIDX_G",24h
\\APPLEPI_AF\MWRD_Production\Labworks Data\4B-South Final Effluent Platform|ECIDX_G,24h
\\applepi\PAA_South_Plant_Flow,15m
\\applepi\FC_T621,24h
\\applepi\TI-R3003,60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_1|SSEC AB 1 IN SERVICE (HC_S110A),24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_2|SSEC AB 2 IN SERVICE (HC_S120A),24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_3|SSEC AB 3 IN SERVICE (HC_S130A),24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_4|SSEC AB 4 IN SERVICE (HC_S140A),24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_5|SSEC AB 5 IN SERVICE (HC_S150A),24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_6|SSEC AB 6 IN SERVICE (HC_S160A),24h
\\applepi\ASRT_ASRT_S,24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_2\SSEC_Aeration_Basin_2_Analyzers\S125_TSS_Analyzer|SSEC AB 2 ZONE 8 TSS (AI_S125C),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_6\SSEC_Aeration_Basin_6_Analyzers\S165_TSS_Analyzer|SSEC AB 6 ZONE 8 TSS (AI_S165C),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins|SSEC Ammonia Control PV,24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins|SSEC RAS To SEC Influent Ratio,24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins|SSEC Total CaRRB Flow to ABasins (FY_S102),24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins|SSEC Total PE Flow to ABasins (FY_S100),24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins|SSEC Total RAS Flow to ABasins (FY_S101),24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins|SSEC Total RAS Flow To CarrB (FI_S391),24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_2\SSEC_Aeration_Basin_2_Analyzers\S122D_NO3_Analyzer|SSEC AB 2 NO3 (AI_S122D),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_2\SSEC_Aeration_Basin_2_DO\Aeration_Basin_2_DO_Zone_5|AB NO. 2 ZONE 5 DO CTRL (AC_S123A),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_2\SSEC_Aeration_Basin_2_DO\Aeration_Basin_2_DO_Zone_6|AB NO. 2 ZONE 6 DO CTRL (AC_S123B),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_2\SSEC_Aeration_Basin_2_DO\Aeration_Basin_2_DO_Zone_7|AB NO. 2 ZONE 7 DO CTRL (AC_S123C),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_2\SSEC_Aeration_Basin_2_DO\Aeration_Basin_2_DO_Zone_8|AB NO. 2 ZONE 8 DO CTRL (AC_S123D),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_6\SSEC_Aeration_Basin_6_Analyzers\S163A_4A_NH3_Analyzer|SSEC AB6 Z4 NH3 (AI_S163A_4A),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_6\SSEC_Aeration_Basin_6_Analyzers\S163D_8A_NH3_Analyzer|SSEC AB6 Z8 NH3 (AI_S163D_8A),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_6\SSEC_Aeration_Basin_6_DO\Aeration_Basin_6_DO_Zone_5|AB NO. 6 ZONE 5 DO CTRL (AC_S163A),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_6\SSEC_Aeration_Basin_6_DO\Aeration_Basin_6_DO_Zone_6|AB NO. 6 ZONE 6 DO CTRL (AC_S163B),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_6\SSEC_Aeration_Basin_6_DO\Aeration_Basin_6_DO_Zone_7|AB NO. 6 ZONE 7 DO CTRL (AC_S163C),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_Aeration_Basins\SSEC_Aeration_Basin_6\SSEC_Aeration_Basin_6_DO\Aeration_Basin_6_DO_Zone_8|AB NO. 6 ZONE 8 DO CTRL (AC_S163D),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_ANITA_Mox_Reactors\SSEC_DMX_Reactor_2\DMX2_Analyzers|AI_S578A - DMX1 NH3 Analyzer,60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_ANITA_Mox_Reactors\SSEC_DMX_Reactor_2\DMX2_Analyzers|AI_S578D - DMX2 NO3 Analyzer,60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_ANITA_Mox_Reactors\SSEC_DMX_Reactor_1\DMX1_Analyzers|AI_S568A - DMX1 NH3 Analyzer,60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_ANITA_Mox_Reactors\SSEC_DMX_Reactor_1\DMX1_Analyzers|AI_S568D - DMX2 NO3 Analyzer,60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_CaRRB_Basins\SSEC_CaRRB_Basin_2\CaRRB_Basin_2_Analyzers\S75_TSS_Analyzer|SSEC CaRRB 2 SWAS TSS ANALYZER (AI_S75C),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_CaRRB_Basins\SSEC_CaRRB_Basin_2\CaRRB_Basin_2_Analyzers\S77_NH3_Analyzer|SSEC CaRRB 2B NH3 (AI_S77A),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_CaRRB_Basins\SSEC_CaRRB_Basin_2\CaRRB_Basin_2_Analyzers\S77A_NO3_Analyzer|SSEC CaRRB Basin 2B NO3 (AI_S77A),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_CaRRB_Basins\SSEC_CaRRB_Basin_3\CaRRB_Basin_3_Analyzers\S85_TSS_Analyzer|SSEC CaRRB 3 SWAS TSS ANALYZER (AI_S85C),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_PE_Pump_Station\PE_Analyzers|SSEC PEPS NH3 Analyzer (AI_S50A),60m
