Name,PI.tag
North Primary Influent Flow,\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\02-Flows\INF-Flows|NPRI INF (FY-F15)
North Primary Influent TSS,\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\20-Optimization_Tools\NPRI Loads Test\Influent TSS|Load
North Primary Influent VSS,
North Primary Influent BOD,
North Primary Influent TKN,
North Primary Influent TP,
North Primary Influent OP,
North Primary Influent Calc TSS,
North Primary Influent Calc VSS,
North Primary Influent Calc BOD,
North Primary Influent Calc TKN,
North Primary Effluent TSS,
North Primary Effluent BOD,
North Primary Effluent Calc TSS,
North Primary Effluent Calc BOD,
North Primary Effluent TKN,
North Primary Effluent TP,
North Primary Effluent OP,
North Primary Sludge % TS,
North Primary Sludge Flow,
South Primary Influent Flow,\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\02-Flows\INF-Flows|SPRI INF (FY-F17)
South Primary Influent TSS,
South Primary Influent VSS,
South Primary Influent TKN,
South Primary Influent TP,
South Primary Influent OP,
South Primary Effluent TSS,
South Primary Effluent BOD,
South Primary Effluent TKN,
South Primary Effluent TP,
South Primary Effluent OP,
South Primary Sludge % TS,
South Primary Sludge Flow,
North Secondary Influent Flow,\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\02-Flows\INF-Flows|NSEC INF (FY-F25)
North AB Units I/S,
North Secondary Influent Temperature,
North Secondary Influent TSS,
North Secondary Influent BOD,
North Secondary Influent BODs,
North Secondary Influent NH3-N,
North Secondary Influent TKN,
North Secondary Influent NO5,
North Secondary Influent TN,
North Secondary Influent Alk,
North SRT,
North RAS Total Flow,
North RAS Average TSS ,
North AB MLSS,
North AB SVI,
North AB Tot Air,
North AB SLR,
North AB1 Flow,
North AB1 Units I/S,
North AB1 HRT HRS,
North AB1 Temp,
North AB1 MLSS,
North AB1 Avg MLSS,
North AB1 MLVSS,
North AB1 SVI,
North AB1 F/M BOD/MLSS,
North AB1 AVG F/M,
North AB1 DO,
North AB1 Load #BOD/KCF,
North AB1 Air Flow,
North AB1 O2 Trans,
North AB1 # O2/BOD R,
North AB1 # O2/NH3 R,
North RAS1 Flow,
North RAS1 TSS,
North Clarifier 1 Units I/S,
North Clarifier 1 SOR,
North Clarifier 1 SLR,
North Clarifier 1 DOB,
North Complex 1 Inventory Basin SS,
North Complex 1 Inventory Clarifier SS,
North 1 Total SS,
North AB2 Avg Flow,
North AB2 Units I/S,
North AB2 HRT HRS,
North AB2 Temp,
North AB2 MLSS,
North AB2 Avg MLSS,
North AB2 MLVSS,
North AB2 SVI,
North AB2 F/M BOD/MLSS,
North AB2 AVG F/M,
North AB2 DO,
North AB2 Load #BOD/KCF,
North AB2 Air Flow,
North AB2 O2 Trans,
North AB2 # O2/BOD R,
North AB2 # O2/NH3 R,
North RAS2 Flow,
North RAS2 TSS,
North Clarifier 2 Units I/S,
North Clarifier 2 SOR,
North Clarifier 2 SLR,
North Clarifier 2 DOB,
North Complex 2 Inventory Basin SS,
North Complex 2 Inventory Clarifier SS,
North 2 Total SS,
North AB3 Flow,
North AB3 Units I/S,
North AB3 HRT HRS,
North AB3 Temp,
North AB3 MLSS,
North AB3 Avg MLSS,
North AB3 MLVSS,
North AB3 SVI,
North AB3 F/M BOD/MLSS,
North AB3 AVG F/M,
North AB3 DO,
North AB3 Load #BOD/KCF,
North AB3 Air Flow,
North AB3 O2 Trans,
North AB3 # O2/BOD R,
North AB3 # O2/NH3 R,
North RAS3 Flow,
North RAS3 TSS,
North Clarifier 3 Units I/S,
North Clarifier 3 SOR,
North Clarifier 3 SLR,
North Clarifier 3 DOB,
North Complex 3 Inventory Basin SS,
North Complex 3 Inventory Clarifier SS,
North 3 Total SS,
North AB4 Flow,
North AB4 Units I/S,
North AB4 HRT HRS,
North AB4 Temp,
North AB4 MLSS,
North AB4 Avg MLSS,
North AB4 MLVSS,
North AB4 SVI,
